id,sequence,label,total_picos
icl_0000,..__.._.._.......|_..._........:...._.........:........._..|._........._.:...........:_.~......~....,Brady,6
icl_0001,..._................:_..~........:.......~...~.|._...........|.......~....|......~..._~.|_..........,Brady,6
icl_0002,.~..._..........~.~......_~.:.....~......~:_.~_._._....~..|.~_.|.......|~..~~.._...~~:~.._..~~~.....,Brady,6
icl_0003,..~......._......_._...|........._~_~._.._.|.~..................|.~......_.~.......:.....~._....~~..,Brady,4
icl_0004,.......~..~......|.~..~......~..~.~~:~.......~.~.~..~.|.~._....~~....~..:~.........~_~_~........~~~.,Brady,4
icl_0005,.~_...~~_............~.....:...~_~~~~.~....:~~_~.~_~.~..._.|._.._...~~....|.._.....~..~.._.~.:~.....,Brady,5
icl_0006,..~~.~~.~._...|~.....~......|~....~...~.._.~_.:............~..~|_...~.~~:~..............:.....~...~.,Brady,6
icl_0007,~........._..|.....~....~~...~.._..|.__~..~.~~...~...~..~.:......_...~_...~~|......~................,Brady,4
icl_0008,...~........._~.:_.........|........~|....._...:.~....._|.~......:_~.......|..._.._..:........|..._.,Normal,9
icl_0009,.....~......|....~._:.......:.~...~.....:......:......:....._...~:_~~_...:.~..._|......._~..|.......,Normal,10
icl_0010,...~.~~...~.|~~......~|..~..~~.~|........~:..........|.~.._.~.:.~..._..:..~...~.:.....~..:~..~...~..,Normal,9
icl_0011,_......~...~.....~~_|~.._.~..~|._..~.~~..|...~......:.....~~._:.~..._.._.:...~.._..|~....~....|.....,Normal,8
icl_0012,.~_.........~...........~...:~..~..~..:......~..|....:~...|~~..|...|..~~~...|....~~.~:..~~....~~.._.,Normal,9
icl_0013,....~..........:....~.~.:.........:........:.._......|....~..|........:..~......:.......~.:....~....,Normal,9
icl_0014,...........~.~....~..~|...~~...::..._......|..........|~......~~.|.....~...~:..._....~.:_....~.....~,Normal,8
icl_0015,.......~.~..|...~.....|~..~.~_~.|......~.~|..~~..~.~.|.~~~.~.~.:.......~|..~....._.|._~.~.~_~....~..,Normal,8
icl_0016,....~......|.....::~....|....:_..~.|.....|.....|.~...|.....:..._.|.....:.....|.~...|.....|..........,Tachy,15
icl_0017,.....~...~~:._~_~~|.....:~~._..|._..~.:..~...:~.~._.:...~.|.~....:.~..~:......|_.~..:....._:...__~~.,Tachy,13
icl_0018,......_..~............~.|.~....:.~..:....:..._~:.....|...~|....:...~:...~..|....|.....:....:|.._....,Tachy,14
icl_0019,.........~|~....:......:.._.~.|_...._:_...._:......:_..._.|....~.|.._._.|~....:......:...~_.|_..._..,Tachy,13
icl_0020,.~..~.~~.....~~..~......_~..~|......|....~..|...~.~.|......~|.~..~.|...~...:|..._||..~.~|:...~......,Tachy,12
icl_0021,........~._.~.:....~.:...._|...~..|...~..:...~~.|....~.|~.....:..~.~:~....:.....:.......|....~|.....,Tachy,13
icl_0022,............~_....._.|.|..._|:.....:.....~:.~__.:.~_..|...~..:.._...:.._~..|~...~.:.~...~|._...._~..,Tachy,13
icl_0023,_._...~..........~.....|_~....|...~.:._...::....:|._..:.....:.....:~....|.....:._~...:_.._~:....._..,Tachy,14
